2.0103,0.01044,0.00732,0.00272,0.00186,6.97E-04,,2.01018,0.01022,0.00423,0.00277,0.00242,0.00174,,2.01004,0.00797,0.00273,0.00257,0.00115,3.88E-04
2.07963,0.01211,0.00733,0.00252,0.00188,7.27E-04,,2.07947,0.01041,0.00422,0.00278,0.0024,0.00176,,2.07934,0.00748,0.00269,0.00233,0.00116,3.95E-04
2.14895,0.0131,0.00756,0.00235,0.00193,7.66E-04,,2.1488,0.01063,0.00427,0.00279,0.00237,0.00178,,2.14865,0.0074,0.00262,0.00216,0.00117,4.05E-04
2.21828,0.01363,0.00764,0.00219,0.00195,7.95E-04,,2.21813,0.01089,0.0043,0.00281,0.00236,0.00177,,2.21795,0.0073,0.00253,0.00204,0.00119,4.14E-04
2.28761,0.01354,0.00761,0.00207,0.00197,8.29E-04,,2.28744,0.01124,0.00433,0.00283,0.00238,0.00179,,2.28726,0.00706,0.00249,0.00197,0.0012,4.21E-04
2.35694,0.01348,0.00781,0.00197,0.002,8.92E-04,,2.35678,0.01166,0.00432,0.00285,0.00239,0.00182,,2.35658,0.00652,0.00241,0.00192,0.00122,4.30E-04
2.42626,0.01409,0.00764,0.0019,0.00202,9.04E-04,,2.42613,0.01219,0.00435,0.00287,0.0024,0.00185,,2.42588,0.00654,0.00239,0.00189,0.00123,4.46E-04
2.49557,0.01406,0.0072,0.00184,0.00208,9.22E-04,,2.49546,0.01302,0.0044,0.00289,0.00242,0.00189,,2.49519,0.00651,0.00241,0.00186,0.00124,4.55E-04
2.56489,0.01418,0.00668,0.0018,0.00204,9.32E-04,,2.56479,0.01404,0.00439,0.00291,0.00243,0.00194,,2.5645,0.00675,0.00243,0.00184,0.00126,4.72E-04
2.63421,0.01305,0.00607,0.00176,0.00187,9.35E-04,,2.63413,0.01488,0.00445,0.00293,0.00245,0.00198,,2.6338,0.00682,0.00243,0.00182,0.00128,4.84E-04
2.70354,0.01151,0.0056,0.00173,0.00173,9.42E-04,,2.70344,0.01524,0.0045,0.00294,0.00247,0.00207,,2.70311,0.00689,0.00243,0.00181,0.00129,5.01E-04
